#OTU ID,AB2a143A,AB2a143B,AB2a200A,AB2a200B,AB2a237A,AB2a237B,AB2a247A,AB2a247B,AB2a267A,AB2a267B,AB2a900A,AB2a900B,AB2b143A,AB2b143B,AB2b200A,AB2b200B,AB2b237A,AB2b237B,AB2b247A,AB2b247B,AB2b267A,AB2b267B,AB2b900A,AB2b900B,taxonomy
denovo223716,1582,299,0,101,453,0,5,0,0,0,0,0,477,296,2026,324,199,2,1,0,0,1,0,0,Bacteria;  __Bacteroidetes;  __Flavobacteria;  __Flavobacteriales;  __NS9_marine_group;  __uncultured_bacterium
denovo364333,0,0,0,0,0,0,11,8,13,1,966,990,0,1,0,0,1,0,1,0,2,6,266,624,Bacteria;  __Fusobacteria;  __Fusobacteriales;  __Leptotrichiaceae;  __uncultured;  __uncultured_Fusobacterium_sp.
denovo420096,141,42,0,67,807,88,406,54,49,63,29,34,56,28,131,177,471,200,356,229,9,118,18,16,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __Rhodobacterales;  __Rhodobacteraceae;  __uncultured_marine_bacterium
denovo190957,293,71,0,92,844,7,12,0,1,0,0,0,107,54,4206,147,442,12,10,2,2,0,1,0,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Chromatiales;  __Chromatiaceae;  __Nitrosococcus;  __uncultured_gamma_proteobacterium
denovo275959,412,230,0,109,1798,50,27,0,0,0,1,1,132,174,1305,150,736,80,15,0,1,0,0,1,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Bdellovibrionales;  __Bdellovibrionaceae;  __OM27_clade;  __uncultured_delta_proteobacterium
denovo162390,714,33,0,67,526,4,704,0,90,5,5,0,540,36,3339,123,878,22,214,7,8,0,14,6,Bacteria;  __Planctomycetes;  __Planctomycetacia;  __Planctomycetales;  __Planctomycetaceae;  __Blastopirellula;  __uncultured_bacterium
denovo328833,345,821,0,259,229,127,59,3,3,58,0,0,184,377,692,371,58,188,80,105,0,3,0,0,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __SAR11_clade;  __Deep_1;  __uncultured_marine_microorganism
denovo128057,491,555,0,299,226,168,42,8,4,92,0,0,167,248,645,500,48,308,62,135,0,10,0,0,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __SAR11_clade;  __Deep_1;  __uncultured_bacterium
denovo152943,11,1,0,0,2,0,7,0,0,0,7,0,0,0,4,0,1,0,0,0,0,0,3,0,Bacteria;  __Bacteroidetes;  __Cytophagia;  __Cytophagales;  __Flammeovirgaceae;  __Reichenbachiella;  __uncultured_Bacteroidetes_bacterium
denovo414779,0,1,3,8,150,252,569,321,16,576,0,0,0,0,1,4,61,499,47,2220,8,1116,0,0,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __E01-9C-26_marine_group;  __uncultured_gamma_proteobacterium
denovo40682,77,677,1,292,83,404,37,2,0,252,0,0,7,324,65,48,27,881,17,410,0,9,0,0,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __SAR11_clade;  __Surface_1;  __uncultured_bacterium
denovo270546,147,604,0,693,347,246,39,79,5,110,0,0,53,403,554,1687,159,530,70,225,0,55,0,0,Bacteria;  __Chloroflexi;  __SAR202_clade;  __uncultured_marine_microorganism
denovo367719,147,44,0,3,161,5,74,4,6,4,38,101,43,30,113,39,44,12,100,12,1,4,89,74,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __Rhodobacterales;  __Rhodobacteraceae;  __uncultured;  __uncultured_bacterium
denovo254833,61,36,0,5,75,5,22,2,6,1,6,0,11,19,154,36,29,5,2,0,0,0,6,0,Bacteria;  __Bacteroidetes;  __Cytophagia;  __Cytophagales;  __Flammeovirgaceae;  __Reichenbachiella;  __uncultured_bacterium
denovo451617,1,7,0,0,0,0,115,18,30,15,746,706,6,4,3,0,0,1,0,0,4,2,1,1,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Oceanospirillales;  __Halomonadaceae;  __Halomonas;  __uncultured_bacterium
denovo231388,0,0,0,0,46,0,302,191,1127,8,530,6,0,0,3,0,20,0,104,4,97,17,214,2,Bacteria;  __Deferribacteres;  __Deferribacterales;  __LCP-89;  __uncultured_bacterium
denovo93514,931,208,0,63,459,14,51,13,11,12,25,47,436,202,719,139,212,27,23,28,1,12,15,8,Bacteria;  __Bacteroidetes;  __Flavobacteria;  __Flavobacteriales;  __Flavobacteriaceae;  __Tenacibaculum;  __Flavobacteria;  __Flavobacteria_bacterium_S1-62
denovo334588,486,80,0,22,145,9,127,2,21,10,103,0,267,60,1342,123,97,19,48,13,0,4,74,35,Bacteria;  __Planctomycetes;  __Planctomycetacia;  __Planctomycetales;  __Planctomycetaceae;  __Blastopirellula;  __uncultured_Pirellula_sp.
denovo372562,1125,27,0,16,498,2,209,0,24,0,1,0,707,25,952,15,319,3,96,0,2,0,3,3,Bacteria;  __Planctomycetes;  __OM190;  __uncultured_bacterium
denovo18952,328,506,0,293,243,113,67,5,4,86,0,0,47,258,301,441,79,269,100,109,0,2,0,1,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __SAR11_clade;  __Surface_1;  __uncultured_bacterium
denovo460322,1,0,0,1,4,4,9,3,16,3,707,2171,1,1,1,0,4,5,0,3,0,7,325,1052,Bacteria;  __Candidate_division_OP3;  __uncultured_bacterium
denovo460697,0,0,0,0,12,0,22,0,44,0,1831,44,3,0,12,0,2,0,15,0,5,0,1799,54,Bacteria;  __Chloroflexi;  __Anaerolineae;  __Anaerolineales;  __Anaerolineaceae;  __uncultured;  __uncultured_bacterium
denovo363008,1412,64,0,26,150,0,7,0,0,0,5,5,507,65,2333,38,77,3,3,0,1,0,1,0,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Sh765B-TzT-29;  __uncultured_bacterium
denovo30175,0,0,0,17,0,207,3,843,2,980,0,0,0,1,0,2,2,365,3,1910,1,1320,0,0,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __SAR324_clade(Marine_group_B);  __uncultured_delta_proteobacterium
denovo155088,114,0,0,4,863,4,189,0,2,0,0,0,441,1,2868,1,408,1,139,2,0,0,2,0,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Myxococcales;  __Sorangiineae;  __uncultured;  __uncultured_bacterium
denovo263490,400,391,0,180,228,65,53,4,3,37,0,0,152,150,720,330,62,118,40,50,0,6,0,1,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __Rickettsiales;  __S25-593;  __uncultured_bacterium
denovo404978,15,0,0,0,6,0,6,0,2,0,3077,12,0,0,1,0,5,0,2,0,1,0,2140,13,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Bdellovibrionales;  __Bacteriovoracaceae;  __uncultured;  __uncultured_bacterium
denovo108237,180,256,0,76,177,19,191,53,28,29,591,639,95,228,313,197,160,52,113,68,6,21,397,842,Bacteria;  __Cyanobacteria;  __SubsectionI;  __FamilyI;  __Synechococcus;  __uncultured_marine_bacterium
denovo259179,0,8,0,3,0,0,1,0,0,6,560,1873,0,3,8,0,0,2,4,1,1,0,426,1423,Bacteria;  __Acidobacteria;  __BPC102;  __uncultured_soil_bacterium
denovo62940,0,0,0,0,0,0,0,1,2,2,170,2036,0,0,0,0,0,0,0,3,0,2,125,1456,Bacteria;  __Chloroflexi;  __vadinBA26;  __uncultured_bacterium
denovo154434,0,1,0,0,12,4,9,13,24,12,955,1559,0,1,2,0,5,4,4,3,1,17,601,997,Bacteria;  __Candidate_division_OP3;  __uncultured_bacterium
denovo327152,708,367,0,299,121,111,7,0,0,57,0,0,118,179,497,844,31,460,25,107,0,1,0,0,Bacteria;  __Chloroflexi;  __SAR202_clade;  __uncultured_bacterium
denovo388234,617,62,0,8,164,4,40,0,2,1,4,1,163,53,393,15,70,6,10,3,0,1,1,1,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Xanthomonadales;  __Sinobacteraceae;  __JTB255_marine_benthic_group;  __uncultured_bacterium
denovo374024,32,0,0,13,1121,2,964,0,143,0,3,5,19,0,1495,8,1163,3,331,4,17,2,7,3,Bacteria;  __Planctomycetes;  __Planctomycetacia;  __Planctomycetales;  __Planctomycetaceae;  __Rhodopirellula;  __uncultured_Planctomycetaceae_bacterium
denovo473458,73,525,0,798,242,161,146,5,13,28,2,0,10,339,604,2133,65,398,102,44,1,4,0,0,Bacteria;  __Bacteroidetes;  __Flavobacteria;  __Flavobacteriales;  __Flavobacteriaceae;  __NS5_marine_group;  __marine_metagenome
denovo267969,232,14,0,6,93,0,68,0,27,3,98,0,116,14,227,3,42,1,24,4,2,0,79,6,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __Rhizobiales;  __Rhodobiaceae;  __Rhodobium;  __uncultured_marine_bacterium
denovo373479,0,0,0,1,8,3,6,14,14,14,451,1942,0,0,1,0,4,5,5,7,0,24,620,1045,Bacteria;  __Candidate_division_OP3;  __uncultured_bacterium
denovo156780,2,0,0,0,11,0,35,0,92,0,1568,2,4,0,58,0,2,0,16,0,7,0,1434,0,Bacteria;  __Planctomycetes;  __OM190;  __uncultured_planctomycete
denovo20275,1119,12,0,6,30,1,5,0,2,0,0,0,416,9,1409,20,21,1,0,0,0,0,0,0,Bacteria;  __Verrucomicrobia;  __Verrucomicrobiae;  __Verrucomicrobiales;  __Verrucomicrobiaceae;  __Roseibacillus;  __uncultured_verrucomicrobium_HF0500_18J03
denovo188837,518,56,0,38,77,0,10,0,0,0,0,0,78,51,752,43,45,2,3,0,0,0,4,2,Bacteria;  __Bacteroidetes;  __Sphingobacteriia;  __Sphingobacteriales;  __Saprospiraceae;  __Aureispira;  __uncultured_bacterium
denovo104093,300,893,0,478,36,4,0,0,0,0,0,0,23,473,224,795,37,23,1,0,0,0,0,0,Bacteria;  __Verrucomicrobia;  __Arctic97B-4_marine_group;  __uncultured_bacterium
denovo84047,101,587,0,600,61,94,43,0,5,27,0,0,15,415,255,1526,76,231,49,60,0,0,0,0,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __Rhodospirillales;  __Rhodospirillaceae;  __uncultured;  __uncultured_alpha_proteobacterium
denovo66834,369,380,0,453,35,21,1,0,0,6,0,0,53,347,324,1097,15,85,3,4,0,0,0,0,Bacteria;  __Actinobacteria;  __Acidimicrobiia;  __Acidimicrobiales;  __Sva0996_marine_group;  __uncultured_actinobacterium_HF0200_20K23
denovo71624,434,333,0,144,308,32,24,0,0,8,2,0,70,266,688,228,188,54,26,11,0,0,0,0,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Myxococcales;  __Nannocystineae;  __uncultured;  __uncultured_bacterium
denovo254403,127,59,0,269,1137,47,295,0,1,45,0,0,14,47,1097,241,496,166,289,94,0,0,0,0,Bacteria;  __Deferribacteres;  __Deferribacterales;  __PAUC34f;  __uncultured_Deferribacteres_bacterium
denovo301466,68,380,0,362,236,185,77,8,8,93,0,0,28,142,320,550,63,363,92,179,0,9,0,0,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __SAR11_clade;  __Deep_1;  __uncultured_bacterium
denovo177001,62,273,0,115,26,41,6,0,0,7,0,0,27,206,92,211,23,81,6,9,0,1,0,0,Bacteria;  __Verrucomicrobia;  __Opitutae;  __MB11C04_marine_group;  __uncultured_verrucomicrobium_HF0130_25O04
denovo68887,1,0,0,0,802,2,2230,0,1006,7,0,0,0,0,10,0,547,4,730,7,52,2,0,0,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Bdellovibrionales;  __Bdellovibrionaceae;  __OM27_clade;  __uncultured_bacterium
denovo244612,0,1,0,10,1,217,4,599,0,701,0,0,0,0,0,2,0,406,3,1880,0,1332,0,0,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Chromatiales;  __Ectothiorhodospiraceae;  __Thiorhodospira;  __uncultured_bacterium
denovo381520,4,0,0,0,0,1,1,4,6,0,334,1725,7,0,12,0,3,2,2,1,2,1,331,1016,Bacteria;  __Chloroflexi;  __MSBL5;  __uncultured_bacterium
denovo149803,18,34,0,40,35,8,41,2,2,2,29,6,12,14,102,13,22,7,4,5,2,2,8,7,Bacteria;  __Bacteroidetes;  __Flavobacteria;  __Flavobacteriales;  __Flavobacteriaceae;  __NS2b_marine_group;  __uncultured_marine_bacterium
denovo198697,218,613,0,548,373,69,22,4,1,0,0,0,19,413,223,1332,126,120,11,7,0,0,0,1,Bacteria;  __Deferribacteres;  __Deferribacterales;  __SAR406_clade(Marine_group_A);  __uncultured_bacterium
denovo437791,51,0,0,5,1993,0,588,0,15,0,0,0,17,0,1079,0,924,3,458,0,1,0,2,0,Bacteria;  __Planctomycetes;  __Pla3_lineage;  __uncultured_planctomycete
denovo64719,40,452,0,86,32,69,90,48,54,44,113,384,167,200,460,233,60,89,42,75,0,12,204,740,Bacteria;  __Planctomycetes;  __Planctomycetacia;  __Planctomycetales;  __Planctomycetaceae;  __uncultured;  __uncultured_bacterium
denovo432187,319,461,0,370,1050,145,102,6,22,33,0,0,35,376,573,1228,502,297,181,58,1,1,0,0,Bacteria;  __Deferribacteres;  __Deferribacterales;  __SAR406_clade(Marine_group_A);  __uncultured_bacterium
denovo442269,238,127,0,130,582,21,320,5,18,22,1,0,207,92,2088,228,259,57,228,42,2,0,1,0,Bacteria;  __Verrucomicrobia;  __Opitutae;  __Puniceicoccales;  __Puniceicoccaceae;  __Pelagicoccus;  __uncultured_gamma_proteobacterium
denovo36861,560,12,0,5,39,0,3,0,0,0,0,0,1070,6,620,1,13,2,2,0,0,0,1,0,Bacteria;  __Planctomycetes;  __OM190;  __uncultured_Planctomycetales_bacterium
denovo33010,28,0,0,11,219,0,0,0,0,0,0,0,65,0,5344,6,93,2,0,1,0,0,0,0,Bacteria;  __Planctomycetes;  __OM190;  __uncultured_planctomycete
denovo195988,53,102,0,0,73,2,31,9,15,1,5,7,49,62,18,1,3,0,11,1,0,0,2,5,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Alteromonadales;  __Pseudoalteromonadaceae;  __uncultured;  __uncultured_bacterium
denovo387121,74,81,0,93,49,10,39,2,9,6,26,39,18,55,55,104,17,15,12,10,1,1,9,17,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Alteromonadales;  __Alteromonadaceae;  __OM60(NOR5)_clade;  __uncultured_bacterium
denovo10673,422,89,0,21,534,10,2,0,0,2,0,0,164,45,819,28,312,12,3,0,0,0,2,0,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Bdellovibrionales;  __Bdellovibrionaceae;  __OM27_clade;  __uncultured_delta_proteobacterium
denovo66792,99,174,0,69,96,76,18,1,0,32,0,1,441,78,2813,160,7,165,54,41,0,0,1,0,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __SAR11_clade;  __Surface_1;  __uncultured_marine_microorganism
denovo6857,0,0,0,0,2,0,1,6,5,0,1130,943,0,0,1,0,1,1,2,1,0,3,932,810,Bacteria;  __Chloroflexi;  __Sh765B-AG-111;  __uncultured_Dehalococcoides_sp.
denovo397385,71,266,0,249,116,41,518,5,22,381,0,0,8,201,132,560,118,80,722,441,0,0,0,0,Bacteria;  __Deferribacteres;  __Deferribacterales;  __SAR406_clade(Marine_group_A);  __uncultured_bacterium
denovo18991,600,198,0,50,990,7,1128,1,2,47,0,0,231,144,1249,36,422,11,554,26,0,0,0,0,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Bdellovibrionales;  __Bdellovibrionaceae;  __OM27_clade;  __uncultured_delta_proteobacterium
denovo27147,37,572,0,239,52,54,4,1,0,14,0,2,17,205,247,631,13,167,5,17,0,1,0,0,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __SAR11_clade;  __Surface_4;  __uncultured_alpha_proteobacterium
denovo388104,254,17,0,0,53,0,29,0,4,2,12,11,244,12,96,1,26,0,53,0,1,0,17,11,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __Rhodobacterales;  __Rhodobacteraceae;  __Shimia;  __uncultured_bacterium
denovo455516,114,347,0,131,15,30,6,0,0,4,0,0,60,223,109,356,13,59,17,13,0,0,0,0,Bacteria;  __Verrucomicrobia;  __Opitutae;  __MB11C04_marine_group;  __uncultured_Verrucomicrobiales_bacterium_HF0130_14P10
denovo456856,1,2,0,0,6,0,3,0,4,0,0,0,0,0,53,37,3,0,1,0,0,0,1,0,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Xanthomonadales;  __Xanthomonadaceae;  __Stenotrophomonas;  __Pseudomonas;  __Pseudomonas_hibiscicola
denovo278680,34,10,0,14,17,4,2,1,3,1,11,8,0,9,0,29,13,8,5,9,0,0,21,9,Bacteria;  __Verrucomicrobia;  __Verrucomicrobiae;  __Verrucomicrobiales;  __Rubritaleaceae;  __Rubritalea;  __uncultured_marine_bacterium
denovo141721,0,0,0,1,12,5,7,65,8,14,270,1148,0,0,1,3,0,3,8,22,1,116,102,992,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Desulfobacterales;  __Desulfobacteraceae;  __SEEP-SRB1;  __uncultured_bacterium
denovo219456,186,321,0,146,92,39,31,3,1,32,0,0,509,170,2116,209,18,95,40,26,0,1,0,0,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __SAR11_clade;  __Surface_1;  __uncultured_marine_microorganism
denovo14484,3,0,0,0,11,0,176,1,683,1,1291,15,0,0,4,1,16,1,102,0,34,1,844,26,Bacteria;  __Planctomycetes;  __Phycisphaerae;  __Phycisphaerales;  __ODP1230B30.02_sediment_group;  __uncultured_bacterium
denovo399426,50,379,0,511,90,149,57,8,15,64,0,0,20,322,212,1070,46,265,22,129,0,4,0,0,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __Rhodospirillales;  __Rhodospirillaceae;  __uncultured;  __uncultured_bacterium
denovo159052,98,753,0,529,57,65,20,0,0,23,0,0,12,496,116,1657,37,151,7,53,0,0,0,0,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __MNG3;  __uncultured_bacterium_KM3-69-D9
denovo377891,163,846,0,293,81,45,19,9,2,16,0,0,75,551,197,693,33,91,8,41,0,4,0,2,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __E01-9C-26_marine_group;  __uncultured_marine_microorganism
denovo480074,140,257,1,307,379,176,34,0,0,26,0,0,41,193,430,861,222,377,67,15,0,0,0,0,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Myxococcales;  __Cystobacterineae;  __uncultured;  __uncultured_myxobacterium_HF0200_05J13
denovo373571,1,0,0,0,3,0,30,6,82,3,1001,427,3,0,8,0,0,0,19,1,12,12,936,154,Bacteria;  __Chloroflexi;  __Anaerolineae;  __Anaerolineales;  __Anaerolineaceae;  __uncultured;  __uncultured_bacterium
denovo35916,0,0,0,0,25,0,76,238,231,8,3,0,0,0,1,0,22,4,42,10,26,198,0,0,Bacteria;  __Candidate_division_WS3;  __uncultured_bacterium
denovo415281,0,0,0,0,0,0,6,10,88,0,1555,304,0,0,0,0,0,0,11,1,1,7,805,243,Bacteria;  __Deferribacteres;  __Deferribacterales;  __LCP-89;  __uncultured_bacterium
denovo393245,122,191,0,93,158,48,17,0,0,4,1,0,27,169,235,265,130,49,5,5,0,0,1,0,Bacteria;  __Bacteroidetes;  __Flavobacteria;  __Flavobacteriales;  __Cryomorphaceae;  __NS7_marine_group;  __uncultured_Bacteroidetes/Chlorobi_group_bacterium
denovo5764,0,20,0,0,0,0,1586,290,2619,4,19,12,1064,14,0,0,31,2,0,1,1,1,0,0,Bacteria;  __Firmicutes;  __Bacilli;  __Bacillales;  __Bacillaceae;  __Bacillus;  __Bacillus_boroniphilus
denovo238699,873,23,0,15,52,0,2,0,1,0,0,0,206,14,1759,12,32,0,2,1,0,0,1,2,Bacteria;  __Planctomycetes;  __OM190;  __uncultured_bacterium
denovo411364,37,409,0,344,181,80,6,0,0,14,0,0,16,270,306,915,45,181,4,19,0,0,0,0,Bacteria;  __Deferribacteres;  __Deferribacterales;  __SAR406_clade(Marine_group_A);  __uncultured_SAR406_cluster_bacterium
denovo279681,0,0,0,0,18,2,375,412,367,51,0,0,0,0,6,0,15,4,371,45,27,306,0,0,No blast hit
denovo265042,10,242,0,506,45,162,31,16,0,43,0,0,5,246,62,827,74,302,4,119,0,9,0,0,Bacteria;  __Acidobacteria;  __RB25;  __uncultured_marine_microorganism
denovo83934,68,60,0,57,101,21,4,0,3,0,3,4,14,31,158,109,61,22,7,0,1,0,5,0,Bacteria;  __Bacteroidetes;  __Flavobacteria;  __Flavobacteriales;  __Cryomorphaceae;  __Crocinitomix;  __uncultured_bacterium
denovo459834,173,342,0,354,390,23,26,0,0,0,0,0,45,155,1449,543,135,34,7,1,0,0,0,0,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __KI89A_clade;  __uncultured_bacterium
denovo7979,22,12,0,0,1,0,429,18,20,96,789,318,16,7,2,2,4,0,0,0,6,0,4,0,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Alteromonadales;  __Alteromonadaceae;  __Marinobacter;  __Marinobacter_hydrocarbonoclasticus
denovo399598,188,528,0,165,227,94,61,4,1,32,0,0,22,231,225,255,49,132,77,47,0,1,0,0,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __SAR11_clade;  __Deep_1;  __uncultured_bacterium
denovo366881,0,0,0,9,7,264,22,305,0,725,0,0,0,0,0,1,9,533,1,1909,3,940,0,0,Bacteria;  __Deferribacteres;  __Deferribacterales;  __SAR406_clade(Marine_group_A);  __uncultured_marine_bacterium
denovo81288,6,0,0,0,45,0,103,37,1240,0,241,125,0,0,3,0,19,3,30,1,57,5,150,41,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Bdellovibrionales;  __Bacteriovoracaceae;  __uncultured;  __uncultured_bacterium
denovo438020,9,0,0,0,88,2,311,97,944,17,97,26,1,0,13,0,68,5,159,28,36,123,42,15,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Desulfobacterales;  __Desulfobacteraceae;  __Desulfobacula;  __uncultured_delta_proteobacterium
denovo342076,27,100,0,68,242,344,172,417,53,458,0,0,0,72,3,170,130,778,145,992,4,497,0,0,Bacteria;  __Deferribacteres;  __Deferribacterales;  __SAR406_clade(Marine_group_A);  __uncultured_bacterium
denovo366022,0,0,0,0,7,0,97,2,333,0,628,0,6,0,6,0,4,0,34,0,14,0,306,0,Bacteria;  __Planctomycetes;  __OM190;  __uncultured_planctomycete
denovo437065,386,532,0,58,59,10,43,7,9,3,50,11,1063,416,2267,107,29,14,24,7,2,3,36,167,Bacteria;  __Planctomycetes;  __Planctomycetacia;  __Planctomycetales;  __Planctomycetaceae;  __uncultured;  __uncultured_bacterium
denovo471348,39,281,0,465,11,35,2,0,0,8,0,0,25,163,233,1725,3,75,1,16,0,0,0,0,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __SAR324_clade(Marine_group_B);  __uncultured_delta_proteobacterium_HF0200_14D13
denovo129826,0,11,0,17,3,231,9,270,0,588,0,0,0,18,2,2,1,493,1,1927,3,911,0,0,Bacteria;  __Deferribacteres;  __Deferribacterales;  __SAR406_clade(Marine_group_A);  __uncultured_bacterium
denovo44070,1463,90,0,39,128,4,25,0,3,0,1,1,197,123,1028,25,98,2,16,1,0,0,0,2,Bacteria;  __Planctomycetes;  __Phycisphaerae;  __Phycisphaerales;  __Phycisphaeraceae;  __FS140-16B-02_marine_group;  __uncultured_bacterium
denovo287100,49,278,0,345,458,41,115,1,15,10,0,0,10,232,735,869,207,75,73,1,1,0,2,0,Bacteria;  __Bacteroidetes;  __Flavobacteria;  __Flavobacteriales;  __Flavobacteriaceae;  __NS5_marine_group;  __uncultured_Flavobacterium_sp.
denovo346386,103,0,0,0,4,0,2,0,0,0,0,0,63,0,126,0,1,0,2,0,0,0,0,0,Bacteria;  __Bacteroidetes;  __Flavobacteria;  __Flavobacteriales;  __NS9_marine_group;  __uncultured_Bacteroidetes_bacterium
denovo49735,70,413,1,634,14,46,28,0,2,5,0,0,18,298,195,1290,12,63,4,12,0,0,0,1,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Desulfobacterales;  __Nitrospinaceae;  __Nitrospina;  __uncultured_bacterium
denovo354897,493,402,0,485,263,162,73,1,0,52,0,0,44,350,392,801,167,273,48,86,0,1,0,0,Bacteria;  __Deferribacteres;  __Deferribacterales;  __PAUC34f;  __uncultured_bacterium
denovo102913,28,698,0,557,45,154,3,2,0,80,0,0,20,516,155,907,19,241,2,167,0,2,0,0,Bacteria;  __Deferribacteres;  __Deferribacterales;  __SAR406_clade(Marine_group_A);  __uncultured_bacterium
denovo343053,44,373,0,6,77,4,13,9,10,0,5,2,22,243,51,0,15,1,21,0,2,0,6,2,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Oceanospirillales;  __Oceanospirillaceae;  __uncultured;  __uncultured_gamma_proteobacterium
denovo206171,193,378,0,241,81,81,28,6,2,49,0,0,134,147,236,495,25,205,21,75,1,3,0,0,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __SAR11_clade;  __Deep_1;  __uncultured_marine_microorganism
denovo103554,280,334,0,140,1214,40,95,2,1,21,0,0,44,198,885,410,478,119,150,23,1,0,0,0,Bacteria;  __Deferribacteres;  __Deferribacterales;  __SAR406_clade(Marine_group_A);  __uncultured_bacterium
denovo82827,18,705,0,484,12,65,7,0,0,3,0,0,3,327,33,1106,6,112,0,3,0,0,0,0,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Oceanospirillales;  __SAR86_clade;  __uncultured_bacterium
denovo403020,0,0,0,0,11,9,24,50,80,11,556,586,0,0,0,0,12,4,29,21,6,87,505,329,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Desulfobacterales;  __Desulfobacteraceae;  __Sva0081_sediment_group;  __uncultured_marine_bacterium
denovo476479,203,6,0,2,29,0,5,0,0,0,0,0,37,0,43,10,33,0,0,0,0,0,1,0,Bacteria;  __Bacteroidetes;  __Flavobacteria;  __Flavobacteriales;  __Cryomorphaceae;  __Fluviicola;  __uncultured_bacterium
denovo263614,296,10,0,11,415,0,71,0,4,0,1,1,46,2,1082,0,156,0,36,0,2,0,2,0,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Sh765B-TzT-29;  __uncultured_deep-sea_bacterium
denovo60546,1,1,0,4,59,24,132,173,253,55,24,20,0,0,0,0,23,29,62,78,27,130,15,24,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Myxococcales;  __Cystobacterineae;  __uncultured;  __uncultured_bacterium
denovo299313,6,1,0,2,43,1,369,4,627,1,231,48,0,0,5,0,22,0,187,2,32,3,123,29,Bacteria;  __Planctomycetes;  __Phycisphaerae;  __Phycisphaerales;  __ODP1230B30.02_sediment_group;  __uncultured_bacterium
denovo350092,152,72,0,11,240,0,220,2,19,2,12,4,116,51,170,0,26,0,15,0,2,0,11,11,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Alteromonadales;  __Colwelliaceae;  __Thalassomonas;  __Thalassomonas_sp._PaD1.04
denovo395793,436,19,0,36,60,3,5,0,0,0,0,0,166,29,619,84,29,2,5,0,0,0,1,0,Bacteria;  __Planctomycetes;  __Planctomycetacia;  __Planctomycetales;  __Planctomycetaceae;  __Blastopirellula;  __uncultured_marine_bacterium
denovo207699,1,0,0,0,1,0,46,0,198,0,1141,2,4,0,8,0,3,0,31,0,7,0,631,1,No blast hit
denovo468264,184,817,0,280,7,2,0,1,0,0,0,6,22,731,45,566,3,15,0,0,0,0,0,0,Bacteria;  __Nitrospirae;  __Nitrospira;  __Nitrospirales;  __Nitrospiraceae;  __Nitrospira;  __uncultured_deep-sea_bacterium
